time_sec,x,y,w,h
19.991,847,537,167,341
20.024,847,542,153,330
20.058,841,540,144,331
20.092,842,540,142,336
20.126,836,540,137,323
20.159,841,540,157,327
20.193,827,537,135,343
20.227,820,532,128,353
20.26,809,531,116,360
20.294,798,534,108,344
20.328,789,525,101,349
20.362,781,522,101,360
20.395,774,526,104,349
20.429,768,523,105,360
20.463,757,526,110,358
20.496,745,522,131,367
20.53,735,538,142,335
20.564,725,524,163,366
20.597,726,526,153,361
20.631,727,523,151,367
20.665,728,530,154,354
20.699,725,527,148,360
20.732,717,528,142,357
20.766,708,517,129,368
20.8,698,513,126,367
20.833,691,510,114,375
20.867,683,511,109,382
20.901,678,508,111,380
20.935,671,504,118,390
20.968,657,505,133,394
21.002,652,505,138,395
21.036,644,514,146,378
21.069,640,518,144,368
21.103,627,513,167,374
21.137,620,516,179,372
21.171,626,518,154,373
21.204,616,510,173,388
21.238,614,514,160,379
21.272,608,511,170,385
21.305,594,506,187,404
21.339,591,501,192,414
21.373,587,497,182,422
21.407,589,488,164,428
21.44,582,486,166,432
21.474,578,487,169,435
21.508,575,487,170,439
21.541,570,485,173,440
21.575,569,483,178,443
21.609,570,481,185,449
21.643,564,481,182,458
21.676,561,480,182,460
21.71,558,480,191,459
21.744,556,479,193,460
21.777,553,475,197,458
21.811,551,471,200,460
21.845,549,474,201,473
21.879,551,473,203,478
21.912,551,468,206,485
21.946,555,468,210,487
21.98,559,463,210,491
22.013,559,459,206,499
22.047,560,458,213,504
22.081,563,455,214,506
22.114,558,451,225,511
22.148,560,445,227,516
22.182,567,448,225,522
22.216,571,447,222,523
22.249,573,439,210,533
22.283,582,435,204,533
22.317,583,436,206,533
22.35,586,439,203,526
22.384,588,434,206,549
22.418,593,434,204,553
22.452,597,436,205,560
22.485,600,438,204,573
22.519,604,433,207,582
22.553,607,422,209,586
22.586,614,418,207,597
22.62,620,417,202,606
22.654,623,418,198,590
22.688,630,406,196,599
22.721,633,404,198,613
22.755,643,402,198,613
22.789,644,398,206,617
22.822,641,398,225,626
22.856,642,398,237,622
22.89,647,397,255,623
22.924,654,398,274,629
22.957,673,398,306,634
22.991,683,399,318,634
23.025,700,402,319,638
23.058,705,401,297,642
23.092,709,398,303,647
23.126,719,402,302,644
23.16,729,412,291,624
23.193,744,400,277,648
23.227,764,394,260,655
23.261,795,426,213,593
23.294,826,420,182,598
23.328,846,420,180,595
23.362,853,417,189,586
23.396,851,419,216,612
23.429,869,417,234,611
23.463,875,420,255,602
23.497,918,407,331,643
23.53,940,397,371,660
23.564,945,375,373,721
23.598,950,374,360,718
23.631,945,374,333,720
23.665,950,372,288,711
23.699,976,366,260,724
23.733,995,369,242,736
23.766,1033,374,212,711
23.8,1046,372,199,691
23.834,1061,359,199,689
23.867,1078,367,218,728
23.901,1091,356,207,709
23.935,1090,361,231,719
23.969,1123,371,230,730
24.002,1130,368,250,731
24.036,1158,369,303,727
24.07,1216,366,421,733
24.103,1226,366,445,726
24.137,1231,366,452,729
24.171,1246,371,492,725
24.205,1257,370,472,717
24.238,1264,367,452,733
24.272,1280,366,409,728
24.306,1304,366,341,730
24.339,1293,367,389,726
24.373,1343,368,282,727
24.407,1380,366,272,733
24.441,1410,358,281,710
24.474,1440,325,283,651
24.542,921,621,75,159
24.744,1622,368,572,730
24.778,1620,370,544,736
24.811,1650,366,522,732
24.845,1655,364,521,724
24.879,1676,356,481,713
24.913,1694,356,446,712
24.946,1716,355,397,710
24.98,1760,359,319,719
25.014,1773,358,291,716
25.047,1794,354,249,708
25.081,1808,356,221,709
25.148,1829,356,178,713
25.519,921,621,73,160
26.396,922,622,74,160
26.564,921,621,76,159
27.778,921,621,75,159
